N,Same-T
780500000,409503556
781000000,409767161
781500000,410031688
782000000,410306019
782500000,410569466
783000000,410841383
783500000,411110681
784000000,411376454
784500000,411642648
785000000,411906386
785500000,412168145
786000000,412434440
786500000,412702878
787000000,412966787
787500000,413229554
788000000,413496321
788500000,413753545
789000000,414017376
789500000,414281123
790000000,414547256
790500000,414809331
791000000,415080046
791500000,415339337
792000000,415608109
792500000,415885515
793000000,416149632
793500000,416417520
794000000,416688730
794500000,416958100
795000000,417221332
795500000,417488129
796000000,417750008
796500000,418013423
797000000,418278061
797500000,418542090
798000000,418808199
798500000,419080362
799000000,419346743
799500000,419606227
800000000,419872271
800500000,420135546
801000000,420401425
801500000,420667446
802000000,420935935
802500000,421198351
803000000,421466189
803500000,421740935
804000000,422006383
804500000,422273531
805000000,422538621
805500000,422804524
806000000,423065663
806500000,423333968
807000000,423591007
807500000,423854839
808000000,424116169
808500000,424375962
809000000,424640870
809500000,424910678
810000000,425175452
810500000,425436399
811000000,425699230
811500000,425964985
812000000,426232361
812500000,426501232
813000000,426775027
813500000,427038548
814000000,427301667
814500000,427564585
815000000,427828125
815500000,428091237
816000000,428356094
816500000,428621144
817000000,428883848
817500000,429150778
818000000,429410289
818500000,429674303
819000000,429939754
819500000,430195335
820000000,430456880
820500000,430730222
821000000,430993028
821500000,431254138
822000000,431515962
822500000,431778502
823000000,432046388
823500000,432310437
824000000,432588884
824500000,432855176
825000000,433123924
825500000,433389797
826000000,433656354
826500000,433923265
827000000,434186758
827500000,434447584
828000000,434712937
828500000,434979512
829000000,435245302
829500000,435506772
830000000,435772923
830500000,436029609
831000000,436291043
831500000,436556886
832000000,436823627
832500000,437083298
833000000,437351553
833500000,437612881
834000000,437876612
834500000,438144506
835000000,438419893
835500000,438683703
836000000,438952279
836500000,439224003
837000000,439492763
837500000,439756477
838000000,440022960
838500000,440286959
839000000,440549484
839500000,440816786
840000000,441084881
840500000,441350242
841000000,441615784
841500000,441886865
842000000,442147571
842500000,442409172
843000000,442673492
843500000,442941677
844000000,443202515
844500000,443472077
845000000,443737546
845500000,444003789
846000000,444273964
846500000,444550910
847000000,444816085
847500000,445084337
848000000,445352019
848500000,445618629
